"normalised_date","high","low","compound"
"2012-01-01",4.80666666666667,4.80666666666667,0.08624
"2012-01-02",5,5,0.0421268292682927
"2012-01-03",5.2525,5.2525,0.0291386363636364
"2012-01-04",5.22333333333333,5.2,0.0493875
"2012-01-05",6.28619047619048,6.28142857142857,0.170326829268293
"2012-01-06",6.445,6.435,0.210717021276596
"2012-01-07",6.8,6.8,0.285822222222222
"2012-01-08",6.95,6.95,0.262964285714286
"2012-01-09",6.58416666666666,6.58166666666667,0.162417307692308
"2012-01-10",6.603,6.603,0.321067692307692
"2012-01-11",7.12187499999999,7.11958333333333,0.209465714285714
"2012-01-12",7.0625,7.0625,0.05585
"2012-01-13",6.9840625,6.940625,0.13162962962963
"2012-01-14",6.42,6.41,-0.0262
"2012-01-15",7.15,7.15,0.150527083333333
"2012-01-16",6.71428571428572,6.71428571428572,0.314681538461538
"2012-01-17",6.15416666666667,6.14166666666667,0.283675510204082
"2012-01-18",6.24694444444444,6.23694444444444,0.267221052631579
"2012-01-19",6.22571428571429,6.22571428571429,0.184966666666667
"2012-01-20",6.835,6.835,0.159454545454545
"2012-01-21",6.386,6.386,0.33856
"2012-01-22",6.485,6.485,0.328011428571429
"2012-01-23",6.4075,6.4075,0.521806896551724
"2012-01-24",6.49555555555555,6.49555555555555,0.218193548387097
"2012-01-25",6.28444444444445,6.28194444444444,0.359744117647059
"2012-01-26",6.185,6.175,0.154592
"2012-01-27",5.65142857142857,5.65142857142857,0.432454347826087
"2012-01-28",4.91,4.91,0.083225
"2012-01-29",5.696,5.696,0.35316976744186
"2012-01-30",5.545,5.545,0.186642105263158
"2012-01-31",5.6190243902439,5.59853658536585,0.317914285714286
"2012-02-01",5.79,5.7475,0.4607
"2012-02-02",6.17280701754386,6.1678947368421,0.471604
"2012-02-03",6.21481481481481,6.20481481481481,0.266336363636364
"2012-02-04",6.095625,6.094375,0.16847
"2012-02-05",5.83958333333333,5.83916666666667,0.228940909090909
"2012-02-06",5.52625,5.52625,0.0888736842105263
"2012-02-07",5.672,5.672,0.268546666666667
"2012-02-08",5.74333333333333,5.74166666666667,0.176383333333333
"2012-02-09",5.78357142857143,5.78357142857143,0.0320133333333334
"2012-02-10",5.87692307692308,5.87692307692308,0.138807692307692
"2012-02-11",5.605,5.605,0.590130769230769
"2012-02-12",5.6375,5.6375,-0.0626945945945946
"2012-02-13",5.64818181818182,5.64818181818182,0.300996551724138
"2012-02-14",5.20090909090909,5.19212121212121,0.20995945945946
"2012-02-15",4.94526315789474,4.94526315789474,0.459763793103448
"2012-02-16",4.58441176470588,4.57558823529412,0.438752777777778
"2012-02-17",4.6984375,4.6890625,0.171467857142857
"2012-02-18",4.40153846153846,4.39769230769231,0.253121052631579
"2012-02-19",4.33166666666667,4.33166666666667,0.318978125
"2012-02-20",4.56321428571429,4.55535714285714,0.17145
"2012-02-21",4.4875,4.4834375,0.323878787878788
"2012-02-22",4.54444444444444,4.54222222222222,0.266121739130435
"2012-02-23",4.89095238095238,4.88928571428571,0.11453125
"2012-02-24",5.143,5.133,0.433413888888889
"2012-02-25",5.04571428571429,5.03857142857143,0.446013333333333
"2012-02-26",4.95571428571429,4.95428571428572,0.0953833333333333
"2012-02-27",5.05192307692308,5.04961538461538,0.323938888888889
"2012-02-28",4.9925,4.99107142857143,0.0254294117647059
"2012-02-29",4.9545,4.9525,0.189185714285714
"2012-03-01",5.004,5.00266666666667,0.334571428571429
"2012-03-02",4.77705882352941,4.76235294117647,-0.0790594594594595
"2012-03-03",4.76333333333333,4.75666666666667,0.295980769230769
"2012-03-04",4.79333333333333,4.79333333333333,0.0359142857142857
"2012-03-05",4.95,4.9490243902439,0.0992758620689655
"2012-03-06",4.99695652173913,4.99608695652174,0.121204347826087
"2012-03-07",5.06413793103448,5.05931034482759,0.321845454545455
"2012-03-08",4.97368421052632,4.97210526315789,0.152051428571429
"2012-03-09",5.02166666666667,5.01083333333333,0.148084
"2012-03-10",4.91888888888889,4.91333333333333,0.353886666666667
"2012-03-11",4.92666666666667,4.92666666666667,0.233614814814815
"2012-03-12",4.959,4.959,0.122309375
"2012-03-13",5.07675,5.069,0.106305882352941
"2012-03-14",5.37692307692308,5.37307692307692,0.564322222222222
"2012-03-15",5.341875,5.3375,0.284976315789474
"2012-03-16",5.34076923076923,5.34076923076923,0.162376923076923
"2012-03-17",5.40222222222222,5.40222222222222,0.044835294117647
"2012-03-18",5.32066666666667,5.317,-0.394371428571429
"2012-03-19",5.122,5.1104,0.48295
"2012-03-20",4.91208333333333,4.91,0.355738888888889
"2012-03-21",4.93666666666667,4.93666666666667,0.142296428571429
"2012-03-22",4.87958333333333,4.87666666666667,0.231158695652174
"2012-03-23",4.7775,4.74875,0.284163157894737
"2012-03-24",4.73142857142857,4.73142857142857,0.32256
"2012-03-25",4.642,4.642,-0.1183
"2012-03-26",4.62666666666667,4.62533333333333,0.1702
"2012-03-27",4.7856862745098,4.78549019607843,0.245252
"2012-03-28",4.89583333333334,4.89104166666667,0.26817
"2012-03-29",4.82866666666667,4.82666666666667,0.33625
"2012-03-30",4.84142857142857,4.83142857142857,0.495535714285714
"2012-03-31",4.90916666666667,4.9075,0.152153333333333
"2012-04-01",4.82,4.81470588235294,0.472642105263158
"2012-04-02",4.93477272727273,4.93068181818182,0.249046666666667
"2012-04-03",4.96866666666667,4.96866666666667,0.183783333333333
"2012-04-04",4.93666666666667,4.93619047619048,0.12918
"2012-04-05",4.95928571428571,4.95857142857143,0.123193939393939
"2012-04-06",4.92708333333333,4.92166666666667,0.266421052631579
"2012-04-07",4.83428571428571,4.82642857142857,0.290785714285714
"2012-04-08",4.76933333333333,4.76866666666667,0.334864285714286
"2012-04-09",4.79909090909091,4.79909090909091,0.168321212121212
